,findings_start_date,case_id,st_cd,industry,h2a_violtn_cnt,labor_intensity,Length_alleged_violtn,Avg_farm_size,Num_task_forces,Fatal_rate,poverty_rate,num_establishments_Fewer_20employees,Avg_net_farm_income,min_wage_federal
0,5/14/2012,1658229,FL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.192086331,-0.037267081,0,-0.375,0.097560976,0.154914386,0.438698501,0.525
1,6/1/2012,1658453,MS,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.194964029,0.49689441,0,1.375,1.731707317,-0.159228799,-0.412702894,0
2,8/11/2015,1799179,DE,VEGETABLE AND MELON FARMING,0,1,0.305755396,-0.037267081,0,-0.875,-0.926829268,-0.355804234,3.062709816,1.25
3,9/23/2014,1802624,ID,FRUIT AND TREE NUT FARMING,0,1,0.829496403,1.726708075,0,0.875,-0.609756098,-0.129971687,0.983615537,0
4,6/27/2014,1794945,MD,LOGGING,0,0,0.828057554,-0.254658385,0,-0.4375,-1.243902439,-0.306862613,0.197328913,0
5,10/1/2015,1802853,FL,OTHER CROP FARMING,2,0,0.307194245,-0.037267081,0,-0.125,0.317073171,0.186059054,0.55591416,1
6,8/23/2010,1662834,NY,FRUIT AND TREE NUT FARMING,0,1,0.829496403,-0.080745342,0,-0.6875,0.268292683,-0.085209653,-0.07036295,0
7,1/7/2014,1716192,FL,FRUIT AND TREE NUT FARMING,0,1,-0.196402878,-0.037267081,0,-0.375,0.43902439,0.177699879,0.066368098,0.85
8,5/21/2014,1770830,NY,OILSEED AND GRAIN FARMING,9,0,0.54028777,-0.02484472,2,-0.3125,-0.219512195,-0.075771875,0.08672564,0.9375
9,7/5/2013,1774770,KY,OTHER CROP FARMING,0,0,1.064028777,-0.223602484,0,0.875,1.731707317,-0.250640421,-0.142050957,0
10,5/1/2014,1762079,MS,FRUIT AND TREE NUT FARMING,7,1,0.363309353,0.546583851,0,2.375,1.756097561,-0.162464608,-0.094308243,0
11,9/2/2012,1668303,CA,FRUIT AND TREE NUT FARMING,0,1,-0.212230216,0.763975155,1,-0.625,0.243902439,1.479169476,3.954912699,0.9375
12,10/4/2010,1670878,PA,FRUIT AND TREE NUT FARMING,0,1,0.829496403,-0.51552795,0,0.4375,-0.658536585,-0.164621815,-0.459041628,0
13,8/11/2012,1737805,WY,CATTLE RANCHING AND FARMING,0,1,0.828057554,14.85714286,0,5.5625,-1.292682927,-0.317109343,-0.769890647,0
14,5/1/2014,1737826,NM,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.071223022,9.583850932,0,2.125,1.243902439,-0.287987057,0.06069433,0.3125
15,6/27/2014,1736948,TN,VEGETABLE AND MELON FARMING,0,1,-0.177697842,-0.273291925,0,0.9375,0.585365854,-0.279223406,-0.857356025,0
16,2/16/2014,1720667,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.212230216,0.763975155,1,-0.8125,0.219512195,1.464608332,5.018464819,2.1875
17,10/17/2010,1613198,FL,VEGETABLE AND MELON FARMING,0,1,-0.010791367,-0.068322981,0,-0.1875,0.268292683,0.15626264,0.168413635,0
18,2/13/2013,1694137,TX,VEGETABLE AND MELON FARMING,0,1,-0.101438849,1.97515528,2,0.6875,0.487804878,0.855601995,-0.596501225,0
19,5/1/2011,1628421,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.058273381,0.658385093,1,-0.5625,0.487804878,1.499932587,3.757299607,0.9375
20,3/10/2011,1625990,SD,POULTRY AND EGG PRODUCTION,40,0,-0.009352518,7.385093168,0,2.125,-0.097560976,-0.298368613,2.561617856,0
21,1/1/2014,1735819,TN,VEGETABLE AND MELON FARMING,0,1,0.079856115,-0.273291925,0,0.9375,0.585365854,-0.279223406,-0.857356025,0
22,7/29/2012,1735823,TN,OTHER CROP FARMING,0,0,0.828057554,-0.285714286,0,0.3125,0.902439024,-0.287178104,-0.828497081,0
23,2/12/2013,1684952,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.21942446,0.751552795,2,-0.5625,0.048780488,1.453957126,4.639091119,0.9375
24,3/1/2013,1703946,OH,VEGETABLE AND MELON FARMING,0,1,0.012230216,-0.118012422,0,-0.1875,0,-0.208844546,0.004886809,0.75
25,6/7/2011,1621650,FL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.217985612,-0.068322981,0,-0.25,0,0.154644735,0.134413218,0
26,8/1/2011,1627317,TX,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.200719424,2.01863354,1,0.4375,0.609756098,0.813940946,-0.643513257,0
27,7/21/2011,1698163,NE,OTHER CROP FARMING,0,0,0.790647482,4.757763975,0,0.375,-1.146341463,-0.162464608,2.944540763,0
28,9/1/2011,1634947,UT,FRUIT AND TREE NUT FARMING,0,1,-0.127338129,2.875776398,0,0,-0.951219512,-0.33450182,-0.361239669,0
29,12/2/2012,1744581,NY,POULTRY AND EGG PRODUCTION,0,0,0.828057554,-0.02484472,0,-0.5625,0.56097561,-0.079816637,-0.033520057,0
30,1/4/2012,1643871,TX,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.190647482,1.968944099,1,0.9375,0.512195122,0.833355804,-0.745164734,0
31,6/22/2015,1768722,CA,VEGETABLE AND MELON FARMING,0,1,-0.147482014,0.763975155,3,-0.6875,-0.243902439,1.424295537,4.36318482,2.1875
32,7/29/2010,1592181,ME,FRUIT AND TREE NUT FARMING,0,1,-0.202158273,-0.242236025,0,0,-0.56097561,-0.24039369,-0.042967585,0.3125
33,4/16/2011,1616140,TX,VEGETABLE AND MELON FARMING,0,1,-0.220863309,2.01863354,1,0.4375,0.609756098,0.813940946,-0.643513257,0
34,6/3/2010,1655342,AL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,0.828057554,-0.118012422,0,1.125,0.56097561,-0.205339086,-0.543663124,0
35,11/11/2010,1603186,TX,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.19352518,2.00621118,1,0.6875,0.853658537,0.818255359,-0.638872893,0
36,7/1/2014,1735881,GA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.190647482,0.142857143,0,0.1875,0.463414634,-0.091007146,0.339299572,0
37,5/5/2014,1738175,IN,VEGETABLE AND MELON FARMING,0,1,-0.066906475,0.291925466,0,0.6875,-0.073170732,-0.176351625,0.123979234,0
38,9/3/2013,1708281,VA,FRUIT AND TREE NUT FARMING,0,1,-0.144604317,-0.161490683,0,-0.0625,-1.243902439,-0.17473372,-0.561907391,0
39,6/9/2014,1735343,MO,VEGETABLE AND MELON FARMING,0,1,-0.16618705,0.52173913,1,0.375,-1.097560976,-0.191317244,-0.221579714,0.3125
40,5/18/2011,1657260,AK,SUPPORT ACTIVITIES FOR FORESTRY,0,0,0.304316547,6.757763975,0,4.875,-0.780487805,-0.354321154,-1.597160354,0.625
41,8/21/2013,1704927,NJ,VEGETABLE AND MELON FARMING,0,1,-0.212230216,-0.788819876,0,-0.4375,-1.219512195,-0.261965754,-0.200753863,0
42,11/5/2012,1689982,GA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,6,0,0.025179856,0.130434783,0,-0.5,0.780487805,-0.100175273,0.602454487,0
43,10/21/2010,1671332,TN,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,0.838129496,-0.416149068,0,1.3125,0.43902439,-0.283807469,-0.8612151,0
44,8/22/2013,1725235,FL,FISHING,0,0,0.213669065,-0.043478261,0,-0.3125,-0.024390244,0.16799245,0.050390077,0.675
45,5/31/2011,1695408,VA,FISHING,0,0,0.817985612,-0.217391304,0,0.0625,-0.853658537,-0.175138196,-0.433209115,0
46,3/1/2010,1624639,AL,VEGETABLE AND MELON FARMING,0,1,0.489928058,-0.118012422,0,1.125,0.56097561,-0.205339086,-0.543663124,0
