,findings_start_date,case_id,st_cd,industry,Length_alleged_violtn,Number_farm,Avg_farm_size,Num_task_forces,Fatal_rate,poverty_rate,num_establishments_Fewer_20employees,Avg_net_farm_income,labor_intensity,min_wage_federal,min_wage_min,min_wage_max,h2a_violtn_cnt
0,2012-05-14,1658229,FL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,20.0,47500.0,200.0,0.0,2.7,15.3,3952.0,61322.77894736842,0,7.67,7.67,7.67,0
1,2012-06-01,1658453,MS,SUPPORT ACTIVITIES FOR CROP PRODUCTION,18.0,42300.0,286.0,0.0,5.5,22.0,1622.0,27768.486997635933,0,7.25,7.25,7.25,0
2,2015-08-11,1799179,DE,VEGETABLE AND MELON FARMING,366.0,2500.0,200.0,0.0,1.9,11.1,164.0,164736.8,1,8.25,8.25,8.25,0
3,2014-09-23,1802624,ID,FRUIT AND TREE NUT FARMING,730.0,24400.0,484.0,0.0,4.7,12.4,1839.0,82798.31967213114,1,7.25,7.25,7.25,0
4,2014-06-27,1794945,MD,LOGGING,729.0,12300.0,165.0,0.0,2.6,9.8,527.0,51810.243902439026,0,7.25,7.25,7.25,0
5,2015-10-01,1802853,FL,OTHER CROP FARMING,367.0,47300.0,200.0,0.0,3.1,16.2,4183.0,65942.32558139536,0,8.05,8.05,8.05,2
6,2010-08-23,1662834,NY,FRUIT AND TREE NUT FARMING,730.0,36300.0,193.0,0.0,2.2,16.0,2171.0,41260.330578512396,1,7.25,7.25,7.25,0
7,2014-01-07,1716192,FL,FRUIT AND TREE NUT FARMING,17.0,47600.0,200.0,0.0,2.7,16.7,4121.0,46648.991596638654,1,7.93,7.93,7.93,0
8,2014-05-21,1770830,NY,OILSEED AND GRAIN FARMING,529.0,35500.0,202.0,2.0,2.8,14.0,2241.0,47451.295774647886,0,8.0,8.0,8.0,9
9,2013-07-05,1774770,KY,OTHER CROP FARMING,893.0,76500.0,170.0,0.0,4.7,22.0,944.0,38435.05882352941,0,7.25,7.25,7.25,0
10,2014-05-01,1762079,MS,FRUIT AND TREE NUT FARMING,406.0,37100.0,294.0,0.0,7.1,22.1,1598.0,40316.63072776281,1,7.25,7.25,7.25,7
11,2012-09-02,1668303,CA,FRUIT AND TREE NUT FARMING,6.0,80500.0,329.0,1.0,2.3,15.9,13774.0,199899.1055900621,1,8.0,8.0,8.0,0
12,2010-10-04,1670878,PA,FRUIT AND TREE NUT FARMING,730.0,63200.0,123.0,0.0,4.0,12.2,1582.0,25942.246835443035,1,7.25,7.25,7.25,0
13,2012-08-11,1737805,WY,CATTLE RANCHING AND FARMING,729.0,10800.0,2598.0,0.0,12.2,9.6,451.0,13691.481481481482,1,7.25,5.15,5.15,0
14,2014-05-01,1737826,NM,SUPPORT ACTIVITIES FOR CROP PRODUCTION,104.0,24700.0,1749.0,0.0,6.7,20.0,667.0,46425.38461538462,0,7.5,7.5,7.5,0
15,2014-06-27,1736948,TN,VEGETABLE AND MELON FARMING,30.0,67300.0,162.0,0.0,4.8,17.3,732.0,10244.41307578009,1,7.25,7.25,7.25,0
16,2014-02-16,1720667,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,6.0,76400.0,329.0,1.0,2.0,15.8,13666.0,241814.39790575916,0,9.0,9.0,9.0,0
17,2010-10-17,1613198,FL,VEGETABLE AND MELON FARMING,146.0,47500.0,195.0,0.0,3.0,16.0,3962.0,50670.673684210524,1,7.25,7.25,7.25,0
18,2013-02-13,1694137,TX,VEGETABLE AND MELON FARMING,83.0,248500.0,524.0,2.0,4.4,16.9,9149.0,20524.87323943662,1,7.25,7.25,7.25,0
19,2011-05-01,1628421,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,113.0,81500.0,312.0,1.0,2.4,16.9,13928.0,192111.0429447853,0,8.0,8.0,8.0,0
20,2011-03-10,1625990,SD,POULTRY AND EGG PRODUCTION,147.0,31300.0,1395.0,0.0,6.7,14.5,590.0,144988.43450479233,0,7.25,7.25,7.25,40
21,2014-01-01,1735819,TN,VEGETABLE AND MELON FARMING,209.0,67300.0,162.0,0.0,4.8,17.3,732.0,10244.41307578009,1,7.25,7.25,7.25,0
22,2012-07-29,1735823,TN,OTHER CROP FARMING,729.0,76000.0,160.0,0.0,3.8,18.6,673.0,11381.763157894737,0,7.25,7.25,7.25,0
23,2013-02-12,1684952,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,1.0,77900.0,327.0,2.0,2.4,15.1,13587.0,226863.0295250321,0,8.0,8.0,8.0,0
24,2013-03-01,1703946,OH,VEGETABLE AND MELON FARMING,162.0,75000.0,187.0,0.0,3.0,14.9,1254.0,44225.973333333335,1,7.85,7.85,7.85,0
